Test: frags,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN18050316,67,64,58,64,62,26,59,64,67,23
MN18050317,72,1,0,0,48,13,65,24,72,3
MN18050318,83,15,7,10,2,51,27,0,0,34
MN19050201,84,84,84,84,84,84,84,84,84,84
MN19050202,70,70,70,68,70,70,70,70,70,63
MN19050205,68,28,32,47,68,67,68,68,68,19
MN19050206,79,0,0,0,0,0,0,0,0,0
MN19050207,80,67,71,78,80,80,80,80,80,80
MN19050208,73,73,73,73,73,73,73,72,73,73
MN19050209,78,78,78,77,78,78,78,78,78,76
MN19050210,77,1,0,0,10,0,0,61,0,3
MN19050211,68,0,0,0,13,0,0,15,0,0
MN19050212,69,68,68,69,51,69,69,64,69,69
MN19050213,72,30,33,46,71,68,68,61,55,55
MN19050214,80,80,80,80,75,80,80,79,80,76
MN19050215,80,31,12,16,27,8,25,42,0,10
MN19050216,73,45,53,56,38,17,30,48,73,30
MN19050217,90,1,2,1,84,13,49,89,90,15
MN19050218,63,63,63,63,63,63,63,63,63,63
MN19050219,68,68,68,68,68,68,68,68,68,68
MN19050220,74,74,74,74,74,74,74,74,74,74
MN19050222,62,62,62,61,62,62,62,62,62,61
MN19050223,81,78,74,74,21,46,77,6,81,79
MN19050224,87,81,87,86,87,87,87,87,87,87
MN19050226,69,69,69,69,69,69,69,69,69,69
MN19050227,89,86,85,88,89,83,89,89,89,43
MN19050228,75,28,10,2,28,0,6,51,21,0
MN19050229,77,0,0,0,0,0,0,0,47,0
MN19050230,66,2,4,3,66,17,16,66,66,0
MN19050231,56,10,26,22,48,39,53,55,56,54
MN19050232,78,12,1,21,5,14,7,15,0,6
MN19050233,73,73,73,73,73,73,73,71,73,73
MN19050234,65,25,25,28,13,11,30,1,65,14
MN19050235,66,66,66,66,66,66,66,66,66,66
MN19050237,88,88,86,87,88,73,88,88,86,82
MN19050238,80,0,0,0,13,0,0,16,75,0
MN19050240,83,83,83,83,83,83,83,83,83,83
MN19050241,76,5,4,1,72,9,45,65,76,0
MN19050242,71,57,55,70,71,71,71,71,71,71
MN19050243,79,79,79,79,79,79,79,76,79,79
MN19050244,74,68,70,59,64,73,74,29,74,63
MN19050245,73,0,0,0,4,0,8,0,0,0
MN19080801,72,72,72,72,72,72,72,72,72,72
MN19080802,83,83,83,83,83,83,83,83,83,83
