Specimen,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3,nv a 1,nv a 2,nv a 3,nv b 1,nv b 2,nv b 3,nv c 1,nv c 2,nv c 3
MN14AA0304,5734.474,10345.34375,122.13834,28.57544,16.0502,0.08810863,0.008234715,0.9960768,0.9922611,0.08710482,-0.08849121,0.08749179,-0.9961651,0.0004963018
MN10AA1508,1281.4701,1505.5322265625,41.477295,15.78976,6.055704,0.10472903,-0.09290754,0.9901515,-0.99449205,-0.005603378,0.10466235,0.004175728,0.995659,0.09298265
MN13AA0708,1713.7163,1867.29541015625,54.253212,21.54477,6.631667,0.065535195,0.14544423,-0.9871936,-0.99198365,0.116616726,-0.04867193,-0.10804423,-0.9824696,-0.1519208
MN13AA0107,2838.4978,5008.4921875,77.128365,25.815897,9.618059,0.034392983,-0.07167392,0.996835,0.99894047,0.032983184,-0.032094087,0.030578483,-0.9968826,-0.072732374
MN10AA2310,699.6343,1013.8668619791666,25.793655,14.262678,7.878256,-0.07371062,0.21571298,0.9736707,-0.9270872,0.34498367,-0.14661387,-0.367527,-0.91348463,0.17455578
MN12AA5903,23234.89,40248.661458333336,198.10464,41.787857,35.71631,0.042524315,0.015932418,-0.99896836,0.99697787,0.064388044,0.0434665,-0.065014146,0.9977977,0.013146211
MN19080805,2942.333,4968.957356770833,65.59234,17.740406,12.590857,0.06389458,0.124251805,-0.9901914,0.9975577,-0.03600594,0.059851788,0.028216079,0.99159724,0.12624893
MN12AA1004,3624.6335,6251.789713541667,76.237335,29.825613,14.4554825,0.09966724,-0.042666037,-0.99410564,-0.9950151,-0.00088737597,-0.099720344,-0.0033725263,-0.999089,0.042541794
MN12AA5604,2069.2847,3210.5703125,68.22302,21.139503,8.9587345,0.020385675,-0.035213277,0.99917185,0.98571545,0.16782,-0.014196739,0.16718112,-0.98518854,-0.038131393
MN10AA2106,3906.6,9184.73828125,78.4962,27.557148,19.567162,-0.04494252,0.0022985397,0.99898696,0.8375572,-0.5449606,0.03893399,-0.544498,-0.8384585,-0.022566747
MN19050213,2900.9263,4332.3193359375,80.70955,17.718254,9.695899,0.039863434,-0.045836348,-0.99815327,-0.9991397,-0.0132598905,-0.039293922,0.011434313,-0.99886096,0.0463255
MN10AA2303,2049.2166,3892.552734375,44.6514,25.78979,10.197342,0.23476434,-0.046244048,0.9709517,-0.969441,0.06202836,0.23735332,0.07120272,0.9970025,0.03026883
MN11AA0904,1213.3396,1961.24853515625,42.38508,16.973291,8.283209,0.045986194,-0.045833286,-0.99789006,0.9834189,0.17749923,0.037166737,-0.17542125,0.9830531,-0.053235833
MN10AA0306,8245.93,22732.794270833332,110.81813,26.50793,25.587662,0.05399958,0.01604574,0.998412,0.9848557,0.16411577,-0.055903926,0.16475217,-0.9863106,0.0069405558
MN15AA3408,5211.4385,9685.999348958334,87.4313,35.516056,14.7464485,0.07545427,-0.080571905,0.99388874,-0.9852847,0.14727579,0.08674033,0.15336458,0.9858083,0.06827368
MN14AA0114,907.4459,1145.9783528645833,37.00869,15.046448,7.0106325,0.18051243,-0.09266783,0.9791976,-0.9816081,0.045918662,0.18530239,0.062135015,0.99463767,0.08267461
MN14AA0311,1918.891,2815.9690755208335,58.639168,20.383003,11.924616,0.2013034,-0.021378782,0.9792956,-0.97337335,0.1075404,0.2024337,0.10964163,0.9939708,-0.00083871186
MN15AA2803,3879.1602,7810.677734375,77.71072,31.884678,15.6014805,0.10592028,0.016595853,-0.9942361,-0.99288535,0.05646684,-0.104833834,-0.054401565,-0.9982665,-0.022458764
